5.054166666666668561e+01,4.168750000000000000e+01
4.012500000000002842e+01,1.338750000000000000e+02
6.929166666666668561e+01,6.929166666666665719e+01
6.825000000000002842e+01,4.845833333333332860e+01
7.345833333333334281e+01,4.377083333333334281e+01
6.147916666666668561e+01,9.377083333333334281e+01
5.731250000000002842e+01,1.161666666666666572e+02
6.304166666666668561e+01,1.271041666666666572e+02
8.283333333333334281e+01,6.981250000000000000e+01
8.387500000000002842e+01,5.366666666666667140e+01
7.762500000000002842e+01,5.939583333333334281e+01
8.543750000000002842e+01,5.991666666666665719e+01
7.970833333333334281e+01,1.015833333333333144e+02
7.710416666666668561e+01,1.213750000000000000e+02
7.293750000000002842e+01,1.114791666666666572e+02
8.022916666666668561e+01,1.125208333333333144e+02
1.109583333333333428e+02,7.033333333333334281e+01
1.083541666666666856e+02,1.026250000000000000e+02
1.083541666666666856e+02,7.970833333333334281e+01
1.192916666666666856e+02,8.595833333333334281e+01
1.302291666666666856e+02,6.981250000000000000e+01
1.255416666666666856e+02,1.172083333333333144e+02
1.265833333333333428e+02,8.700000000000000000e+01
1.458541666666666856e+02,9.116666666666665719e+01
1.666875000000000000e+02,8.335416666666665719e+01
1.656458333333333428e+02,1.088750000000000000e+02
7.189583333333334281e+01,4.220833333333334281e+01
8.595833333333334281e+01,4.220833333333334281e+01
1.140833333333333428e+02,4.429166666666667140e+01
1.385625000000000000e+02,5.522916666666667140e+01
5.991666666666668561e+01,1.541875000000000000e+02
7.710416666666668561e+01,1.541875000000000000e+02
1.057500000000000142e+02,1.640833333333333144e+02
1.323125000000000000e+02,1.552291666666666572e+02
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+02
2.000000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,2.000000000000000000e+02
